unit,na_item,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MEUR,P6,AT	187739.1 	171306.2 	191728.8 	184381.6 	175270.4 	167086.4 	162238.6 	157438.1 	153019.5 	152045.4 	149890.4 	141492.4 	125069.4 	146054.7 	142951.7 	132889.5 	123530.7 	115811.7 	106580.7 	106017.2 	101659.8 	96113.1 	84662.8 	79544.9 	73754.1 	66428.5 	63483.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,BE	357581.2 p	321395.2 p	338401.2 	330505.6 	326982.9 	310021.6 	291917.3 	281443.0 	267539.6 	266599.4 	267903.7 	256045.5 	231843.2 	261306.2 	256666.7 	243433.5 	230304.7 	218275.4 	205545.1 	202277.7 	195534.9 	194794.3 	173309.3 	165293.7 	158726.0 	144967.8 	138097.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,CH	313636.4 p	279042.8 p	294269.7 	296279.1 	286612.0 	287696.5 	271469.0 	260968.2 	274802.4 	240691.7 	239047.0 	229763.2 	204042.1 	223508.0 	214573.9 	192817.0 	181165.5 	170150.8 	154906.8 	156751.9 	159558.2 	159397.9 	142149.7 	137583.0 	134061.0 	116788.1 	113366.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,CY	18252.6 p	16074.4 p	15726.2 	14464.2 	13490.2 	12155.4 	11336.7 	10407.8 	9791.8 	9683.2 	9739.1 	9100.7 	8559.4 	8977.2 	9028.2 	8568.7 	8375.7 	8124.6 	7873.3 	8108.4 	8402.6 	8257.1 	7591.3 	7411.1 	7003.4 	7004.9 	6582.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,CZ	141961.5 	132804.1 	144400.8 	142296.1 	137209.9 	127996.5 	122669.5 	115690.7 	106417.0 	106141.4 	101785.6 	93241.4 	81318.8 	90181.7 	86535.3 	77937.7 	68193.4 	57713.5 	44504.7 	40896.3 	40522.5 	37031.0 	32262.3 	30668.6 	27968.9 	25995.4 	25304.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,DK	157369.4 	145727.2 	155536.7 	148823.3 	143995.9 	137382.7 	131957.3 	127399.8 	123534.5 	121575.5 	120178.7 	112112.4 	108910.3 	119977.5 	115505.1 	111433.8 	100993.5 	93747.7 	91003.9 	92111.0 	88264.7 	85401.4 	75860.0 	68176.7 	65490.7 	62678.0 	59892.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,EL	62490.4 p	50353.1 p	64160.7 	61171.7 	56060.4 	51663.1 	51878.2 	49399.2 	45635.5 	44834.1 	43971.1 	43692.0 b	41666.5 	51136.6 	49420.4 	44676.5 	42463.0 	41090.8 	34660.9 	34917.3 	37677.0 	37631.8 	30799.5 	24749.5 	23680.5 	19236.3 	18481.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,ES	330879.1 p	289284.9 p	361343.9 	353516.5 	347512.8 	329361.7 	312571.9 	299638.8 	286663.4 	274638.6 	272094.8 	251535.3 	230630.8 	258665.7 	261032.7 	242601.3 	231647.0 	227347.8 	217965.1 	210456.1 	207503.4 	199634.7 	180766.0 	167267.0 	154666.0 	135208.9 	122948.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,FI	87463.7 	82949.9 	88958.9 	83392.7 	82157.7 	75497.2 	72668.0 	72384.5 	73825.3 	73404.9 	73234.0 	71777.6 	67599.8 	84619.9 	79379.9 	72834.0 	66325.0 	62016.1 	57030.5 	57611.1 	55404.2 	54412.9 	46865.0 	42093.0 	38662.7 	33906.2 	32058.6 	29478.9 	26021.4 	22303.8 	20206.6 	21938.7 	21634.9 	21275.6 	20551.3 	19889.2 	19392.0 	19269.7 	18089.1 	17338.6 	17669.6 	16700.7 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,FR	623665.2 	573369.5 p	689416.5 p	678434.5 	649052.0 	621781.3 	610932.0 	583808.7 	565309.4 	553461.4 	538166.0 	505966.8 	465491.5 	522425.7 	520133.6 	506009.9 	477378.0 	459124.9 	435775.8 	439994.9 	431378.3 	418520.6 	370747.7 	352717.1 	324151.1 	286759.8 	275021.7 	252651.1 	233592.5 	232674.4 	219608.0 	206636.8 	198411.0 	180739.2 	166638.4 	162107.2 	163689.9 	160301.1 	150135.6 	143337.8 	144970.0 	138260.1 	134519.8 	126045.9 	118292.5 	109627.3 	101026.2 
